Gmt time,Open,High,Low,Close,Volume
06.09.2021 00:00:00.000,1.18854,1.18857,1.18557,1.18731,41182.882699999995
07.09.2021 00:00:00.000,1.18730,1.18851,1.18358,1.18429,68103.2086
08.09.2021 00:00:00.000,1.18428,1.18511,1.18019,1.18188,77623.4093
09.09.2021 00:00:00.000,1.18186,1.18412,1.18051,1.18230,81298.65550000001
10.09.2021 00:00:00.000,1.18230,1.18510,1.18092,1.18101,64082.67010000002
11.09.2021 00:00:00.000,1.18101,1.18101,1.18101,1.18101,0
12.09.2021 00:00:00.000,1.18111,1.18157,1.18087,1.18115,1815.1799999999998
13.09.2021 00:00:00.000,1.18114,1.18169,1.17700,1.18096,59781.95040000001
14.09.2021 00:00:00.000,1.18095,1.18458,1.18000,1.18023,70351.0982
15.09.2021 00:00:00.000,1.18024,1.18318,1.17991,1.18190,68102.1202
16.09.2021 00:00:00.000,1.18189,1.18204,1.17504,1.17648,67633.62739999998
17.09.2021 00:00:00.000,1.17647,1.17888,1.17235,1.17239,69247.25989999999
18.09.2021 00:00:00.000,1.17239,1.17239,1.17239,1.17239,0
19.09.2021 00:00:00.000,1.17288,1.17305,1.17232,1.17292,1296.6200000000001
20.09.2021 00:00:00.000,1.17293,1.17364,1.17001,1.17266,85294.27529999998
21.09.2021 00:00:00.000,1.17267,1.17486,1.17147,1.17228,69831.58799999999
22.09.2021 00:00:00.000,1.17228,1.17555,1.16843,1.16870,84003.4301
23.09.2021 00:00:00.000,1.16871,1.17500,1.16834,1.17398,79458.47989999999
24.09.2021 00:00:00.000,1.17397,1.17476,1.17005,1.17181,56255.979900000006
25.09.2021 00:00:00.000,1.17181,1.17181,1.17181,1.17181,0
26.09.2021 00:00:00.000,1.17253,1.17261,1.17160,1.17224,4061.7299999999996
27.09.2021 00:00:00.000,1.17224,1.17250,1.16846,1.16956,110005.9795
28.09.2021 00:00:00.000,1.16956,1.17031,1.16682,1.16860,115357.90989999998
29.09.2021 00:00:00.000,1.16858,1.16900,1.15894,1.16014,108726.12980000001
30.09.2021 00:00:00.000,1.16015,1.16096,1.15624,1.15736,101703.30899999998
